advertId,district,first_query_date,elapsed_days,first_price,last_price,area,rooms,unit_price,price_change
34378761,"Budapest III. kerület, Tarhos utca 156.",2024-12-27,59,179.90,179.90,112,5,1.60625,0.0
34144137,"Budapest III. kerület, Aranyhegy",2024-12-27,19,149,149,95,3.5,1.568421052631579,0.0
34090899,"Budapest III. kerület, Jutas köz 4.",2024-12-27,59,157.50,157.50,122,4,1.290983606557377,0.0
33484732,"Budapest III. kerület, Aranyhegy",2024-12-27,26,183.75,183.75,105,4,1.75,0.0
34378786,"Budapest III. kerület, Tarhos utca 156.",2024-12-27,59,199.90,199.90,112,5,1.7848214285714286,0.0
34335453,"Budapest III. kerület, Ürömhegy",2024-12-27,59,189.90,189.90,130,4,1.4607692307692308,0.0
34509222,"Budapest III. kerület, Ürömhegy",2024-12-27,16,189,189,103,4,1.8349514563106797,0.0
33412443,"Budapest III. kerület, Csillaghegy",2024-12-27,59,168,180,120,5,1.5,12.0
33810693,"Budapest III. kerület, Ürömhegy",2024-12-27,59,182,182,105,5,1.7333333333333334,0.0
33643923,"Budapest III. kerület, Csillaghegy",2024-12-27,59,228,228,130,5,1.7538461538461538,0.0
33085862,"Budapest III. kerület, Aranyhegy",2024-12-27,5,155,155,108,4.5,1.4351851851851851,0.0
34216971,"Budapest III. kerület, Csillaghegy",2024-12-27,59,150,170,125,4,1.36,20.0
34385800,"Budapest III. kerület, Aranyhegy",2024-12-27,59,179.90,183.75,105,4,1.75,3.8499999999999943
34333588,"Budapest III. kerület, Ürömfű utca",2024-12-27,59,189,189,104,4,1.8173076923076923,0.0
34419123,"Budapest III. kerület, Csillaghegy",2024-12-27,6,269,269,130,4,2.0692307692307694,0.0
34497250,"Budapest XI. kerület, Madárhegy",2024-12-27,59,184,184,129,5,1.426356589147287,0.0
34511721,"Budapest III. kerület, Ürömhegy",2024-12-27,26,245,245,127,4,1.9291338582677164,0.0
34002024,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,59,265,249,122,4,2.040983606557377,-16.0
34025501,"Budapest II. kerület, Előd vezér utca",2024-12-27,59,265,265,122,4,2.1721311475409837,0.0
33973446,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,59,265,249,116,4,2.146551724137931,-16.0
34025397,"Budapest II. kerület, Előd vezér utca",2024-12-27,59,265,265,122,4,2.1721311475409837,0.0
34496580,"Budapest II. kerület, Jegesmedve lejtő",2024-12-27,59,164.99,164.99,120,5,1.3749166666666668,0.0
32687768,"Budapest III. kerület, Csillaghegy",2024-12-27,59,168,180,120,4,1.5,12.0
34366994,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,59,265,249,130,5.5,1.9153846153846155,-16.0
34227039,"Budapest XI. kerület, Szerelmey Miklós utca",2024-12-27,59,219,228,130,5.5,1.7538461538461538,9.0
34194794,"Budapest III. kerület, Tarhos utca",2024-12-27,9,194.90,194.90,130,4,1.4992307692307694,0.0
34445329,"Budapest II. kerület, II/A kerület - Budaliget",2024-12-27,59,264.70,249,122,4,2.040983606557377,-15.699999999999989
33920599,"Budapest III. kerület, Naplemente utca",2024-12-27,59,170,180,120,4,1.5,10.0
33127761,"Budapest III. kerület, Ürömhegy",2024-12-27,59,208,208,120,5,1.7333333333333334,0.0
34538165,"Budapest III. kerület, Ürömhegy",2025-01-16,40,189,189,103,4,1.8349514563106797,0.0
34017384,"Budapest XII. kerület, Diós árok",2025-01-20,36,275,275,120,3,2.2916666666666665,0.0
34017099,"Budapest III. kerület, Csillaghegy",2025-01-20,16,159,169,100,4,1.69,10.0
34543570,"Budapest III. kerület, Ürömhegy",2025-01-20,36,139.90,139.90,100,3.5,1.399,0.0
34565624,"Budapest III. kerület, Ürömhegy",2025-01-30,26,229.90,229.90,127,4,1.810236220472441,0.0
34562064,"Budapest III. kerület, Ürömfű utca",2025-01-30,26,192,192,104,4,1.8461538461538463,0.0
34537887,"Budapest III. kerület, Ürömhegy",2025-02-08,10,234.50,234.50,126,4,1.8611111111111112,0.0
34576978,"Budapest III. kerület, Ürömhegy",2025-02-08,17,189.90,189.90,120,4,1.5825,0.0
34258112,"Budapest XII. kerület, Denevér út",2025-02-08,10,279,279,124,4,2.25,0.0
33898265,"Budapest III. kerület, Ürömhegy",2025-02-08,17,249,249,130,5.5,1.9153846153846155,0.0
34588885,"Budapest III. kerület, Bécsi út",2025-02-10,15,179,179,112,4,1.5982142857142858,0.0
34596580,"Budapest III. kerület, Aranyhegy",2025-02-15,9,183.75,183.75,105,4,1.75,0.0
34594773,"Budapest III. kerület, Óarany utca 32.",2025-02-15,9,189.90,189.90,115,4,1.651304347826087,0.0
34594638,"Budapest III. kerület, Jutas utca",2025-02-15,3,189.90,189.90,115,5,1.651304347826087,0.0
34472491,"Budapest III. kerület, Jutas utca",2025-02-19,6,214,214,100,5,2.14,0.0
34611180,"Budapest XII. kerület, Denevér út",2025-02-25,0,279,279,124,4,2.25,0.0
34613053,"Budapest XI. kerület, Madárhegy",2025-02-25,0,180.95,180.95,104,4,1.739903846153846,0.0
34546016,"Budapest III. kerület, Jeles utca",2025-02-25,0,189.90,189.90,125,4,1.5192,0.0
