advertId,district,first_query_date,elapsed_days,first_price,last_price,area,rooms,,
34378761,"Budapest III. kerület, Tarhos utca 156.",27/12/2024,42,179.9,179.9,112,5,,1.60625
34144137,"Budapest III. kerület, Aranyhegy",27/12/2024,19,149,149,95,3.5,,1.568421053
34090899,"Budapest III. kerület, Jutas köz 4.",27/12/2024,42,157.5,157.5,122,4,,1.290983607
33484732,"Budapest III. kerület, Aranyhegy",27/12/2024,26,183.75,183.75,105,4,,1.75
34378786,"Budapest III. kerület, Tarhos utca 156.",27/12/2024,42,199.9,199.9,112,5,,1.784821429
34335453,"Budapest III. kerület, Ürömhegy",27/12/2024,42,189.9,189.9,130,4,,1.460769231
34509222,"Budapest III. kerület, Ürömhegy",27/12/2024,16,189,189,103,4,,1.834951456
33412443,"Budapest III. kerület, Csillaghegy",27/12/2024,42,168,177,120,5,,1.475
33810693,"Budapest III. kerület, Ürömhegy",27/12/2024,42,182,182,105,5,,1.733333333
33643923,"Budapest III. kerület, Csillaghegy",27/12/2024,42,228,228,130,5,,1.753846154
33085862,"Budapest III. kerület, Aranyhegy",27/12/2024,5,155,155,108,4.5,,1.435185185
34216971,"Budapest III. kerület, Csillaghegy",27/12/2024,42,150,170,125,4,,1.36
34385800,"Budapest III. kerület, Aranyhegy",27/12/2024,19,179.9,179.9,105,4,,1.713333333
34333588,"Budapest III. kerület, Ürömfű utca",27/12/2024,42,189,189,104,4,,1.817307692
34419123,"Budapest III. kerület, Csillaghegy",27/12/2024,6,269,269,130,4,,2.069230769
34497250,"Budapest XI. kerület, Madárhegy",27/12/2024,42,184,184,129,5,,1.426356589
34511721,"Budapest III. kerület, Ürömhegy",27/12/2024,26,245,245,127,4,,1.929133858
34002024,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,42,265,265,122,4,,2.172131148
34025501,"Budapest II. kerület, Előd vezér utca",27/12/2024,42,265,265,122,4,,2.172131148
33973446,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,42,265,265,116,4,,2.284482759
34025397,"Budapest II. kerület, Előd vezér utca",27/12/2024,42,265,265,122,4,,2.172131148
34496580,"Budapest II. kerület, Jegesmedve lejtő",27/12/2024,42,164.99,164.99,120,5,,1.374916667
32687768,"Budapest III. kerület, Csillaghegy",27/12/2024,42,168,168,120,4,,1.4
34366994,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,42,265,264.7,130,5.5,,2.036153846
34227039,"Budapest XI. kerület, Szerelmey Miklós utca",27/12/2024,42,219,219,130,5.5,,1.684615385
34194794,"Budapest III. kerület, Tarhos utca",27/12/2024,9,194.9,194.9,130,4,,1.499230769
34445329,"Budapest II. kerület, II/A kerület - Budaliget",27/12/2024,42,264.7,264.7,122,4,,2.169672131
33920599,"Budapest III. kerület, Naplemente utca",27/12/2024,42,170,170,120,4,,1.416666667
33127761,"Budapest III. kerület, Ürömhegy",27/12/2024,42,208,208,120,5,,1.733333333
34538165,"Budapest III. kerület, Ürömhegy",16/01/2025,22,189,189,103,4,,1.834951456
34017384,"Budapest XII. kerület, Diós árok",20/01/2025,18,275,275,120,3,,2.291666667
34017099,"Budapest III. kerület, Csillaghegy",20/01/2025,16,159,169,100,4,,1.69
34543570,"Budapest III. kerület, Ürömhegy",20/01/2025,18,139.9,139.9,100,3.5,,1.399
34565624,"Budapest III. kerület, Ürömhegy",30/01/2025,8,229.9,229.9,127,4,,1.81023622
34562064,"Budapest III. kerület, Ürömfű utca",30/01/2025,8,192,192,104,4,,1.846153846
34537887,"Budapest III. kerület, Ürömhegy",08/02/2025,0,234.5,234.5,126,4,,1.861111111
34576978,"Budapest III. kerület, Ürömhegy",08/02/2025,0,189.9,189.9,120,4,,1.5825
34258112,"Budapest XII. kerület, Denevér út",08/02/2025,0,279,279,124,4,,2.25
33898265,"Budapest III. kerület, Ürömhegy",08/02/2025,0,249,249,130,5.5,,1.915384615
